resolved_timestamp,type
"2013-04-11 11:18:54+00:00",AT
"2013-04-11 12:50:22+00:00",DEV
"2013-04-11 12:51:21+00:00",DEV
"2013-04-11 12:52:17+00:00",DEV
"2013-04-11 12:53:01+00:00",DEV
"2013-04-11 12:53:47+00:00",DEV
"2013-04-11 13:01:10+00:00",DEV
"2013-04-11 13:24:21+00:00",DEV
"2013-04-12 12:20:33+00:00",AT
"2013-04-15 11:46:47+00:00",AT
"2013-04-15 15:18:59+00:00",AT
"2013-04-16 10:00:30+00:00",AT
"2013-04-16 10:19:55+00:00",AT
"2013-04-16 12:48:55+00:00",AT
"2013-04-16 13:54:52+00:00",AT
"2013-04-16 14:58:21+00:00",AT
"2013-04-16 16:04:44+00:00",AT
"2013-04-17 07:59:29+00:00",AT
"2013-04-17 08:18:56+00:00",AT
"2013-04-17 08:39:26+00:00",AT
"2013-04-17 08:40:50+00:00",AT
"2013-04-17 10:07:50+00:00",AT
"2013-04-17 11:32:03+00:00",AT
"2013-04-17 14:10:54+00:00",AT
"2013-04-17 14:34:55+00:00",AT
"2013-04-18 11:47:39+00:00",AT
"2013-04-18 14:00:40+00:00",AT
"2013-04-18 14:03:15+00:00",AT
"2013-04-19 07:37:37+00:00",AT
"2013-04-19 09:34:54+00:00",AT
"2013-04-19 09:36:43+00:00",AT
"2013-04-19 09:39:09+00:00",AT
"2013-04-19 10:34:56+00:00",AT
"2013-04-19 12:04:10+00:00",AT
"2013-04-19 12:17:06+00:00",AT
"2013-04-19 12:36:54+00:00",AT
"2013-04-21 15:29:31+00:00",AT
"2013-04-21 16:07:10+00:00",AT
"2013-04-21 16:16:34+00:00",AT
"2013-04-21 17:16:06+00:00",AT
"2013-04-21 17:28:57+00:00",AT
"2013-04-21 17:40:43+00:00",AT
"2013-04-21 18:01:10+00:00",AT
"2013-04-21 18:15:40+00:00",AT
"2013-04-21 19:20:04+00:00",AT
"2013-04-23 11:56:25+00:00",AT
"2013-04-23 13:59:04+00:00",AT
"2013-04-23 15:41:14+00:00",AT
"2013-04-24 09:17:30+00:00",AT
"2013-04-24 10:07:26+00:00",AT
"2013-04-24 10:10:50+00:00",AT
"2013-04-24 10:18:25+00:00",AT
"2013-04-24 10:25:24+00:00",AT
"2013-04-24 10:34:40+00:00",AT
"2013-04-24 10:42:19+00:00",AT
"2013-04-24 10:48:11+00:00",AT
"2013-04-25 10:16:10+00:00",AT
"2013-04-25 15:17:09+00:00",AT
"2013-04-26 09:35:04+00:00",AT
"2013-04-29 09:26:35+00:00",PS
"2013-04-30 12:30:26+00:00",PS
"2013-05-02 06:57:07+00:00",DEV
"2013-05-02 12:52:00+00:00",PS
"2013-05-03 05:06:32+00:00",DEV
"2013-05-03 05:58:13+00:00",DEV
"2013-05-03 15:44:25+00:00",AT
"2013-05-06 13:44:52+00:00",PS
"2013-05-07 08:03:02+00:00",PS
"2013-05-07 08:03:21+00:00",PS
"2013-05-07 08:03:34+00:00",PS
"2013-05-07 08:03:47+00:00",PS
"2013-05-07 08:03:59+00:00",PS
"2013-05-07 10:04:46+00:00",PS
"2013-05-07 10:04:56+00:00",PS
"2013-05-07 10:20:05+00:00",AT
"2013-05-07 11:00:12+00:00",PS
"2013-05-07 13:21:56+00:00",AT
"2013-05-07 13:31:52+00:00",PS
"2013-05-09 07:00:51+00:00",DEV
"2013-05-13 11:53:26+00:00",DEV
"2013-05-13 13:37:01+00:00",PS
"2013-05-13 14:35:30+00:00",AT
"2013-05-14 10:02:49+00:00",DEV
"2013-05-14 11:20:37+00:00",DEV
"2013-05-14 15:14:09+00:00",AT
"2013-05-16 11:02:49+00:00",AT
"2013-05-16 11:11:34+00:00",AT
"2013-05-16 12:56:59+00:00",PS
"2013-05-16 13:30:23+00:00",AT
"2013-05-17 08:59:08+00:00",AT
"2013-05-20 10:52:18+00:00",AT
"2013-05-20 10:55:12+00:00",AT
"2013-05-20 11:58:28+00:00",AT
"2013-05-21 08:10:40+00:00",AT
"2013-05-21 10:30:19+00:00",DEV
"2013-05-21 15:23:45+00:00",AT
"2013-05-22 07:38:52+00:00",PS
"2013-05-22 07:40:31+00:00",PS
"2013-05-22 09:16:56+00:00",AT
"2013-05-22 09:31:38+00:00",AT
"2013-05-22 09:36:29+00:00",AT
"2013-05-22 12:22:19+00:00",PS
"2013-05-22 15:22:40+00:00",AT
"2013-05-23 06:27:55+00:00",DEV
"2013-05-23 14:34:57+00:00",AT
"2013-05-24 10:41:53+00:00",AT
"2013-05-24 11:02:09+00:00",AT
"2013-05-24 11:48:55+00:00",AT
"2013-05-24 13:55:53+00:00",AT
"2013-05-24 15:45:48+00:00",AT
"2013-05-27 08:29:18+00:00",AT
"2013-05-27 09:20:52+00:00",AT
"2013-05-27 09:31:26+00:00",AT
"2013-05-27 09:48:01+00:00",AT
"2013-05-27 09:54:58+00:00",AT
"2013-05-27 10:21:09+00:00",AT
"2013-05-27 10:32:51+00:00",AT
"2013-05-27 10:47:35+00:00",AT
"2013-05-27 11:02:20+00:00",AT
"2013-05-27 12:46:28+00:00",AT
"2013-05-27 12:48:36+00:00",AT
"2013-05-27 12:52:40+00:00",AT
"2013-05-27 12:55:11+00:00",AT
"2013-05-27 13:12:03+00:00",AT
"2013-05-27 13:36:30+00:00",AT
"2013-05-27 16:20:02+00:00",AT
"2013-05-27 16:40:18+00:00",AT
"2013-05-28 09:57:32+00:00",AT
"2013-05-28 11:33:17+00:00",AT
"2013-05-28 12:10:08+00:00",DEV
"2013-05-28 12:43:27+00:00",PS
"2013-05-28 14:53:29+00:00",AT
"2013-05-29 06:42:44+00:00",DEV
"2013-05-29 07:55:28+00:00",AT
"2013-05-29 07:57:07+00:00",AT
"2013-05-29 09:21:44+00:00",AT
"2013-05-29 09:31:15+00:00",AT
"2013-05-29 09:39:08+00:00",AT
"2013-05-29 10:52:45+00:00",AT
"2013-05-29 11:07:22+00:00",AT
"2013-05-29 11:11:39+00:00",AT
"2013-05-29 12:21:23+00:00",AT
"2013-05-29 14:51:26+00:00",AT
"2013-05-29 15:30:48+00:00",AT
