branch;line;nd
#ifdef PHP_WIN32;515;1
#else;517;1
#ifdef PHP_WIN32;531;1
#ifdef PHP_WIN32;546;1
#else;548;1
#ifdef TSRM_WIN32;594;1
#else;598;1
#ifdef TSRM_WIN32;676;2
#elif defined(NETWARE);839;1
#else;843;1
#ifdef TSRM_WIN32;901;1
#else;915;1
#ifdef TSRM_WIN32;942;2
#else;948;1
#if VIRTUAL_CWD_DEBUG;953;1
#ifdef TSRM_WIN32;962;1
#ifdef TSRM_WIN32;999;1
#ifdef TSRM_WIN32;1010;1
#ifdef TSRM_WIN32;1016;1
#elif defined(NETWARE);1042;1
#ifdef TSRM_WIN32;1071;1
#if VIRTUAL_CWD_DEBUG;1080;1
#if VIRTUAL_CWD_DEBUG;1099;1
#if VIRTUAL_CWD_DEBUG;1108;1
#if VIRTUAL_CWD_DEBUG;1138;1
