branch;line;nd
# ifndef NO_GROUP_SET;149;1
# ifdef S_ISLNK;181;1
# ifndef NO_GROUP_SET;256;1
# if HASLSTAT;351;1
# else;353;1
# ifdef S_ISLNK;361;1
#ifdef S_ISVTX;449;1
# ifndef NO_GROUP_SET;492;1
#if !NOFTRUNCATE;524;1
#if !NOFTRUNCATE;570;1
#if !NOFTRUNCATE;585;1
# if HASLSTAT && BOGUS_O_EXCL;667;1
# else;670;1
# if HAS_ST_GEN && 0;679;1
# if HAS_ST_GEN;695;1
#ifdef ETXTBSY;729;1
# ifdef EX_OK;10;1
#ifndef HASHSPOOL;16;1
#ifndef HASHSPOOLMD5;19;1
#if HASHSPOOL;40;2
#if _FFR_SPOOL_PATH;48;1
#ifndef LOCKTO_RM;50;1
#ifndef LOCKTO_GLOB;53;1
#ifdef LDA_USE_LOCKF;57;2
#ifndef LOCK_EX;64;1
#ifdef LDA_USE_SETEUID;67;1
#ifdef LDA_CONTENTLENGTH;70;1
#ifndef INADDRSZ;73;1
#ifdef MAILLOCK;76;1
#ifndef MAILER_DAEMON;79;1
#ifdef CONTENTLENGTH;82;1
#if HASHSPOOL;95;1
#else;99;1
#if HASHSPOOL;115;1
# ifdef LOG_MAIL;146;1
# else;148;1
#if HASHSPOOL;158;1
#else;160;2
#if HASHSPOOL;202;2
#if HASHSPOOL || _FFR_SPOOL_PATH;239;1
#ifdef CONTENTLENGTH;629;1
#ifdef CONTENTLENGTH;679;1
#else;690;1
#ifdef CONTENTLENGTH;701;1
#ifdef CONTENTLENGTH;733;1
#ifdef CONTENTLENGTH;777;1
#if !HASHSPOOL;808;1
#if HASHSPOOL;822;1
#else;824;1
#if HASHSPOOL;828;1
#ifdef MAILLOCK;852;1
#else;854;1
#ifdef MAILGID;875;1
#ifdef DEBUG;935;1
# if HAS_ST_GEN && 0;950;1
#if 0;960;1
#ifdef DEBUG;996;1
#ifdef CONTENTLENGTH;999;1
#else;1020;1
#ifdef EDQUOT;1029;1
#ifdef DEBUG;1049;1
#ifdef EDQUOT;1067;1
# if HAS_ST_GEN && 0;1082;1
#ifdef DEBUG;1104;1
#ifdef MAILLOCK;1112;1
#else;1150;1
# if _FFR_SPOOL_PATH;1243;1
# else;1245;1
#ifdef __STDC__;1251;1
#else;1253;1
#if HASHSPOOL;1288;3
#ifdef EDQUOT;1362;1
#ifdef EAGAIN;1370;1
#ifdef EBUSY;1373;1
#ifdef EPROCLIM;1376;1
#ifdef EUSERS;1379;1
#ifdef ECONNABORTED;1382;1
#ifdef ECONNREFUSED;1385;1
#ifdef ECONNRESET;1388;1
#ifdef EDEADLK;1391;1
#ifdef EFBIG;1394;1
#ifdef EHOSTDOWN;1397;1
#ifdef EHOSTUNREACH;1400;1
#ifdef EMFILE;1403;1
#ifdef ENETDOWN;1406;1
#ifdef ENETRESET;1409;1
#ifdef ENETUNREACH;1412;1
#ifdef ENFILE;1415;1
#ifdef ENOBUFS;1418;1
#ifdef ENOMEM;1421;1
#ifdef ENOSPC;1424;1
#ifdef EROFS;1427;1
#ifdef ESTALE;1430;1
