guard;line;td
# ifndef HAVE_ISSETUGID;55;1
#if defined(HAVE_SIGACTION) && defined(SA_SIGINFO);67;2
#elif defined(HAVE_SIGNAL) || defined(HAVE_SIGACTION);102;2
#ifdef HAVE_FORK;116;1
#ifdef SIGTTOU;118;1
#ifdef SIGTTIN;121;1
#ifdef SIGTSTP;124;1
#ifdef USE_OPENSSL;248;1
#ifdef USE_OPENSSL;272;1
#ifdef USE_OPENSSL;283;1
#ifdef USE_SELECT;295;1
#ifdef USE_POLL;300;1
#ifdef USE_LINUX_SIGIO;305;1
#ifdef USE_LINUX_EPOLL;310;1
#ifdef USE_SOLARIS_DEVPOLL;315;1
#ifdef USE_SOLARIS_PORT;320;1
#ifdef USE_FREEBSD_KQUEUE;325;1
#ifdef USE_LIBEV;330;1
#if defined USE_LINUX_SENDFILE;336;1
#if defined USE_FREEBSD_SENDFILE;341;1
#if defined USE_SOLARIS_SENDFILEV;346;1
#if defined USE_WRITEV;351;1
#ifdef USE_MMAP;357;1
#ifdef HAVE_IPV6;363;1
#if defined HAVE_ZLIB_H && defined HAVE_LIBZ;368;2
#if defined HAVE_BZLIB_H && defined HAVE_LIBBZ2;373;2
#ifdef HAVE_LIBCRYPT;378;1
#ifdef USE_OPENSSL;383;1
#ifdef HAVE_LIBPCRE;388;1
#ifdef HAVE_MYSQL;393;1
#if defined(HAVE_LDAP_H) && defined(HAVE_LBER_H) && defined(HAVE_LIBLDAP) && defined(HAVE_LIBLBER);398;4
#ifdef HAVE_MEMCACHE_H;403;1
#ifdef HAVE_FAM_H;408;1
#ifdef HAVE_LUA_H;413;1
#ifdef HAVE_LIBXML_H;418;1
#ifdef HAVE_SQLITE3_H;423;1
#ifdef HAVE_GDBM_H;428;1
#ifdef USE_OPENSSL;438;1
#ifdef HAVE_SIGACTION;458;1
#ifdef HAVE_GETRLIMIT;461;1
#ifdef USE_ALARM;464;1
#ifdef HAVE_GETUID;477;1
#ifdef HAVE_GETUID;542;1
#ifdef HAVE_VALGRIND_VALGRIND_H;596;1
#ifdef HAVE_GETRLIMIT;599;1
#ifdef HAVE_PWD_H;634;1
#ifdef HAVE_PWD_H;665;1
#ifdef HAVE_CHROOT;680;1
#ifdef HAVE_PWD_H;693;1
#if defined(HAVE_SYS_PRCTL_H) && defined(PR_SET_DUMPABLE);701;2
#ifdef HAVE_GETRLIMIT;707;1
#ifdef HAVE_FORK;762;1
#ifdef HAVE_SIGACTION;765;1
# if defined(SA_SIGINFO);770;1
#elif defined(HAVE_SIGNAL);784;1
#ifdef USE_ALARM;793;1
#ifdef HAVE_FORK;855;1
#ifdef HAVE_SIGACTION;913;1
#elif defined(HAVE_SIGNAL);915;1
#ifdef HAVE_FAM_H;929;1
#ifdef HAVE_FAMNOEXISTS;936;1
#ifdef HAVE_SIGACTION;970;1
#ifdef USE_ALARM;983;1
#ifdef HAVE_SIGACTION;1211;1
#ifndef _GNU_SOURCE;3;1
#ifndef __USE_GNU;6;1
#ifdef __GNUC__;9;1
