branch;line;nd
#ifdef HAVE_XFT;1751;1
#ifdef HAVE_X_I18N;1774;1
#ifdef emacs;2109;1
#ifdef emacs;2131;1
#ifdef HAVE_XFT;5;1
#ifdef HAVE_XFT;20;1
#ifdef HAVE_X_I18N;26;1
#ifdef HAVE_XFT;30;1
#if __DJGPP__ > 2 || __DJGPP_MINOR__ >= 4;4;1
#else;6;1
#ifdef __GNUC__;5;1
#if 0;266;1
#if 0;293;1
#if 0;450;1
#else;455;1
#ifdef __MINGW32__;3;1
#ifndef WINDOWSNT;1;1
#ifdef __GNU_LIBRARY__;4;1
#else;6;1
#ifdef __GNUC__;15;1
#ifdef __GNUC__;18;1
#if (__GNUC__ > 2 || (__GNUC__ == 2 && __GNUC_MINOR__ >= 8));21;1
#else;28;1
#ifdef __GNUC__;31;1
#else;33;1
#ifdef _MSC_VER;36;1
#ifndef WINDOWSNT;48;1
#ifdef HAVE_STRINGS_H;51;1
#ifndef MAXPATHLEN;55;1
#ifdef HAVE_NTGUI;58;1
#ifndef fileno;125;1
#ifdef _MSC_VER;131;1
