Class,Methods,Over-exposed methods
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameMenu.createMainMenuBar() (Class),1,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::MainFrameMenu.createMainMenuBar() (Class),1,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::MainFrame.setProjectAndBugCollection() (Class),1,0
anonymous(AbstractFBMethodVisitor) in edu::umd::cs::findbugs::detect::TestASM.visitMethod() (Class),2,0
NonReportingDetector in edu::umd::cs::findbugs (Class),3,0
Constant in edu::umd::cs::findbugs::ba::constant (Class),11,1
TypeQualifierAnnotation in edu::umd::cs::findbugs::ba::jsr305 (Class),13,0
Clock in edu::umd::cs::findbugs::log::Profiler (Class),3,0
ClassNameRewriterUtil in edu::umd::cs::findbugs::model (Class),4,0
anonymous(ActionListener) in edu::umd::cs::findbugs::gui2::NewProjectWizard.createFilePanel() (Class),1,0
FindBugsTestCase in edu::umd::cs::findbugs (Class),3,0
anonymous(OverallClassificationFilter) in edu::umd::cs::findbugs::gui2::ViewFilter::OverallClassificationFilter (Class),1,0
CheckImmutableAnnotation in edu::umd::cs::findbugs::detect (Class),5,0
ReturnTypeAnnotationAccumulator in edu::umd::cs::findbugs::ba::jsr305 (Class),5,0
anonymous(IClassScreener) in edu::umd::cs::findbugs::FindBugs2.FindBugs2() (Class),2,0
SingleFileCodeBase in edu::umd::cs::findbugs::classfile::impl (Class),18,1
Summary in edu::umd::cs::findbugs::PluginLoader (Class),1,0
anonymous(DetectorFactoryChooser) in edu::umd::cs::findbugs::plan::ExecutionPlan.ExecutionPlan() (Class),2,0
anonymous(AnnotationVisitor) in edu::umd::cs::findbugs::classfile::engine::ClassParserUsingBCEL.parse() (Class),4,0
PluginUpdateDialog in edu::umd::cs::findbugs::gui2 (Class),8,2
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
LockDataflowFactory in edu::umd::cs::findbugs::classfile::engine::bcel (Class),2,1
CheckReturnValueAnnotation in edu::umd::cs::findbugs::ba (Class),7,0
MainFrameTree in edu::umd::cs::findbugs::gui2 (Class),28,6
EngineRegistrar in edu::umd::cs::findbugs::classfile::engine::asm (Class),3,0
BlockTypeAnalysis in edu::umd::cs::findbugs::ba (Class),11,0
LocalVariable in edu::umd::cs::findbugs::ba::bcp (Class),3,0
CloudListener in edu::umd::cs::findbugs::cloud::Cloud (Class),3,1
JAIFParser in edu::umd::cs::findbugs::jaif (Class),19,1
FilterMatcher in edu::umd::cs::findbugs::gui2 (Class),14,1
CompoundMatcher in edu::umd::cs::findbugs::filter (Class),12,1
ConstantDataflowFactory in edu::umd::cs::findbugs::classfile::engine::bcel (Class),2,1
DFSEdgeTypes in edu::umd::cs::findbugs::ba (Class),0,0
SourceCodeDisplay in edu::umd::cs::findbugs::gui2 (Class),14,0
IsNullValueFrame in edu::umd::cs::findbugs::ba::npe (Class),22,5
anonymous(Runnable) in edu::umd::cs::findbugs::gui::FindBugsFrame.viewSource() (Class),1,0
LostLoggerDueToWeakReference in edu::umd::cs::findbugs::detect (Class),8,0
CSPoptions in edu::umd::cs::findbugs::workflow::CloudSyncAndReport (Class),2,1
NullDerefAndRedundantComparisonCollector in edu::umd::cs::findbugs::ba::npe (Class),4,0
AnalysisErrorDialog in edu::umd::cs::findbugs::gui (Class),12,2
NumberedParagraphView in edu::umd::cs::findbugs::sourceViewer (Class),5,1
CbeckMustOverrideSuperAnnotation in edu::umd::cs::findbugs::detect (Class),4,0
anonymous(RelationalOp) in edu::umd::cs::findbugs::filter::RelationalOp.<Initializer>() (Class),1,0
AuxilaryObligationPropertyDatabase in edu::umd::cs::findbugs::detect::BuildObligationPolicyDatabase (Class),3,0
RefComparisonTypeFrameModelingVisitor in edu::umd::cs::findbugs::detect::FindRefComparison (Class),15,1
StreamFactory in edu::umd::cs::findbugs::detect (Class),2,0
JAIFToken in edu::umd::cs::findbugs::jaif (Class),3,1
FilterFactoryTest in edu::umd::cs::findbugs::gui2 (Class),2,0
anonymous(XPathAttributeCreator) in edu::umd::cs::findbugs::ml::ConvertToARFF::C2ACommandLine.handleOptionWithArgument() (Class),1,0
InvalidClassFileFormatException in edu::umd::cs::findbugs::classfile (Class),6,0
Data in edu::umd::cs::findbugs::BugAccumulator (Class),2,0
StreamEquivalenceClass in edu::umd::cs::findbugs::detect (Class),5,3
SubclassMatcher in edu::umd::cs::findbugs::ba::bcp::Invoke (Class),2,0
SynchronizeOnClassLiteralNotGetClass in edu::umd::cs::findbugs::detect (Class),4,0
ValueNumberAnalysisFeatures in edu::umd::cs::findbugs::ba::vna (Class),1,0
anonymous(java.awt.event.FocusAdapter) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
anonymous(RelationalOp) in edu::umd::cs::findbugs::filter::RelationalOp.<Initializer>() (Class),1,0
ResourceValueFrameModelingVisitor in edu::umd::cs::findbugs::ba (Class),17,0
RefComparisonWarningProperty in edu::umd::cs::findbugs::detect (Class),2,0
ColorAlternator in edu::umd::cs::findbugs::tools::html (Class),2,1
anonymous(Iterable) in edu::umd::cs::findbugs::ba::interproc::ParameterProperty.iterable() (Class),1,0
anonymous(FileFilter) in edu::umd::cs::findbugs::DiscoverSourceDirectories.execute() (Class),1,0
AbstractField in edu::umd::cs::findbugs::ba (Class),4,0
anonymous(BugFilingStatus) in edu::umd::cs::findbugs::cloud::Cloud::BugFilingStatus (Class),2,0
ParameterSignatureIterator in edu::umd::cs::findbugs::ba::SignatureParser (Class),5,1
DefectDensity in edu::umd::cs::findbugs::workflow (Class),3,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
anonymous(PointerUsageRequiringNonNullValue) in edu::umd::cs::findbugs::ba::npe::PointerUsageRequiringNonNullValue.<Initializer>() (Class),2,0
anonymous(Thread) in edu::umd::cs::findbugs::gui2::SourceDirectoryWizard.nextButtonActionPerformed() (Class),1,0
AnnotatedObject in edu::umd::cs::findbugs::classfile::analysis (Class),7,0
XFactory in edu::umd::cs::findbugs::ba (Class),55,1
BugInstanceByPackageComparator in edu::umd::cs::findbugs::gui::FindBugsFrame (Class),2,0
ConvertXmlToTextTask in edu::umd::cs::findbugs::anttask (Class),13,0
NoteAnnotationRetention in edu::umd::cs::findbugs::detect (Class),6,0
anonymous(HashSet) in edu::umd::cs::findbugs::detect::UnnecessaryMath.<Initializer>() (Class),1,0
FindSleepWithLockHeld in edu::umd::cs::findbugs::detect (Class),6,0
RejarClassesForAnalysisCommandLine in edu::umd::cs::findbugs::workflow::RejarClassesForAnalysis (Class),5,0
XField in edu::umd::cs::findbugs::ba (Class),3,0
JavaClassAndMethodChooser in edu::umd::cs::findbugs::ba (Class),2,0
anonymous(RunnableWithExceptions) in edu::umd::cs::findbugs::ba::ch::Subtypes2Test.testInterfaceFirstCommonSuperclass() (Class),1,0
EditDistance in edu::umd::cs::findbugs::util (Class),7,0
anonymous(MouseAdapter) in edu::umd::cs::findbugs::gui2::MainFrameTree.bugListPanel() (Class),2,0
HTMLBugReporter in edu::umd::cs::findbugs (Class),4,1
ReturnPath in edu::umd::cs::findbugs::ba (Class),8,1
ReadOfInstanceFieldInMethodInvokedByConstructorInSuperclass in edu::umd::cs::findbugs::detect (Class),4,0
IsNullValueDataflow in edu::umd::cs::findbugs::ba::npe (Class),2,0
ClassParserUsingASM in edu::umd::cs::findbugs::classfile::engine (Class),5,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui2::SourceDirectoryWizard.initComponents() (Class),1,0
anonymous(ThreadLocal) in edu::umd::cs::findbugs::classfile::DescriptorFactory.<Initializer>() (Class),1,0
FinalConstant in edu::umd::cs::findbugs::detect::FindRefComparison (Class),6,1
