Class,Methods,Over-exposed methods
DefaultLifecycleExecutionPlanCalculator in org::apache::maven::lifecycle::internal (Class),19,0
ValidatingConfigurationListener in org::apache::maven::plugin::internal (Class),6,1
CLIReportingUtils in org::apache::maven::cli (Class),10,0
WagonManager in org::apache::maven::artifact::manager (Class),5,0
DefaultLifecyclesTest in org::apache::maven::lifecycle (Class),7,0
AttachedArtifact in org::apache::maven::project::artifact (Class),23,0
DefaultConflictResolverFactory in org::apache::maven::repository::legacy::resolver::conflict (Class),2,0
MetadataTreeNode in org::apache::maven::repository::metadata (Class),16,2
DefaultProjectBuildingResult in org::apache::maven::project (Class),7,0
ProjectBuildingRequest in org::apache::maven::project (Class),36,11
CacheKey in org::apache::maven::plugin::DefaultPluginDescriptorCache (Class),7,0
SnapshotArtifactRepositoryMetadata in org::apache::maven::artifact::repository::metadata (Class),13,0
DefaultArtifactRepositoryFactory in org::apache::maven::repository::legacy::repository (Class),8,0
BuilderCommonTest in org::apache::maven::lifecycle::internal (Class),5,1
MetadataResolutionRequest in org::apache::maven::repository (Class),24,0
DefaultArtifactInstaller in org::apache::maven::artifact::installer (Class),2,0
LifecycleExecutorTest in org::apache::maven::lifecycle (Class),17,0
LifeCyclePluginAnalyzerStub in org::apache::maven::lifecycle::internal::stub (Class),2,0
IncludesArtifactFilter in org::apache::maven::artifact::resolver::filter (Class),5,0
ArtifactResolutionResult in org::apache::maven::artifact::resolver (Class),34,8
ConcurrencyDependencyGraph in org::apache::maven::lifecycle::internal (Class),7,2
DependencyResolutionRequest in org::apache::maven::project (Class),8,1
DefaultMirrorSelector in org::apache::maven::repository (Class),7,0
DefaultModelBuildingListener in org::apache::maven::project (Class),3,1
InheritanceAssembler in org::apache::maven::model::inheritance (Class),2,0
Log in org::apache::maven::plugin::logging (Class),16,0
FilteredProjectDependencyGraph in org::apache::maven (Class),6,1
ProjectInheritanceTest in org::apache::maven::project::inheritance::t06 (Class),1,0
BuildTest in org::apache::maven::model (Class),4,0
InvalidPluginException in org::apache::maven::plugin (Class),3,0
ProjectInheritanceTest in org::apache::maven::project::inheritance::t05 (Class),1,0
ClassRealmConstituent in org::apache::maven::classrealm (Class),6,0
SimpleProblemCollector in org::apache::maven::settings::validation::DefaultSettingsValidatorTest (Class),3,0
Key in org::apache::maven::repository::internal::DefaultVersionResolver (Class),4,0
LifecycleExecutionPlanCalculatorStub in org::apache::maven::lifecycle::internal::stub (Class),14,1
DefaultSuperPomProvider in org::apache::maven::model::superpom (Class),3,0
BeanConfigurationValuePreprocessor in org::apache::maven::configuration (Class),1,0
MetadataGraph in org::apache::maven::repository::metadata (Class),34,3
ProjectCycleException in org::apache::maven (Class),2,0
