Class,Methods,Over-exposed methods
anonymous(TimerEventPerformer) in com::aelitis::azureus::core::metasearch::impl::MetaSearchManagerImpl.MetaSearchManagerImpl() (Class),1,0
anonymous(AzureusCoreOperationTask) in org::gudy::azureus2::ui::swt::views::FilesViewMenuUtil.moveFile() (Class),1,0
anonymous(SelectionAdapter) in com::aelitis::azureus::ui::swt::devices::SBC_DevicesView.fillMenu() (Class),1,0
anonymous(ModifyListener) in org::gudy::azureus2::ui::swt::pluginsimpl::BasicPluginViewImpl.initialize() (Class),1,0
anonymous(TransportCryptoManager.HandshakeListener) in com::aelitis::azureus::core::networkmanager::impl::tcp::IncomingSocketChannelManager::TcpSelectListener.newConnectionAccepted() (Class),5,0
IpFilterAutoLoaderImpl in org::gudy::azureus2::core3::ipfilter::impl (Class),9,0
JSONObject in org::json::simple (Class),7,0
ParameterListenerImpl in com::aelitis::azureus::core::peermanager::piecepicker::impl::PiecePickerImpl.<Initializer>() (Class),2,0
anonymous(Listener) in org::gudy::azureus2::ui::swt::TorrentUtil.fillTorrentMenu() (Class),1,0
anonymous(Listener) in org::gudy::azureus2::ui::swt::views::configsections::ConfigSectionTransfer.configSectionCreate() (Class),1,0
NetworkAdminRouteListener in com::aelitis::azureus::core::networkmanager::admin (Class),2,0
AuthenticatorWindow in org::gudy::azureus2::ui::swt::auth (Class),9,1
DebugMenuHelper in org::gudy::azureus2::ui::swt::mainwindow (Class),2,0
