Class,Methods,Over-exposed methods
RegressionTests in org::jfree::data::statistics::junit (Class),12,0
StackedBarChartTests in org::jfree::chart::junit (Class),8,0
NeedlePackageTests in org::jfree::chart::needle::junit (Class),4,0
anonymous(DefaultXYDataset) in org::jfree::chart::renderer::junit::RendererUtilitiesTests.testFindLiveItemsLowerBound_Ascending() (Class),1,0
ShortTextTitleTests in org::jfree::chart::title::junit (Class),6,0
ImageFormat in org::jfree::chart::encoders (Class),1,0
StandardURLTagFragmentGeneratorTests in org::jfree::chart::imagemap::junit (Class),3,0
PaintMap in org::jfree::chart (Class),10,3
DatasetUtilities in org::jfree::data::general (Class),58,0
MySeriesChangeListener in org::jfree::data::time::junit::TimePeriodValuesTests (Class),4,2
OHLCDataset in org::jfree::data::xy (Class),10,0
DefaultPolarItemRenderer in org::jfree::chart::renderer (Class),38,7
DefaultIntervalXYDataset in org::jfree::data::xy (Class),20,0
LocalListener in org::jfree::chart::junit::LineChart3DTests (Class),3,0
StandardChartThemeTests in org::jfree::chart::junit (Class),5,0
ChartComposite in org::jfree::experimental::chart::swt (Class),69,11
DataFunctionPackageTests in org::jfree::data::function::junit (Class),4,0
PlotState in org::jfree::chart::plot (Class),2,2
GradientBarPainter in org::jfree::chart::renderer::category (Class),9,0
StandardContourToolTipGeneratorTests in org::jfree::chart::labels::junit (Class),3,0
CategoryTextAnnotation in org::jfree::chart::annotations (Class),12,3
CombinationDataset in org::jfree::data::general (Class),2,2
Hour in org::jfree::data::time (Class),25,6
MouseWheelHandler in org::jfree::chart (Class),5,0
DateTickMarkPositionTests in org::jfree::chart::axis::junit (Class),5,0
StandardContourToolTipGenerator in org::jfree::chart::labels (Class),4,0
XYAreaChartTests in org::jfree::chart::junit (Class),7,0
DefaultKeyedValuesTests in org::jfree::data::junit (Class),21,0
YIntervalDataItem in org::jfree::data::xy (Class),5,4
DefaultKeyedValue in org::jfree::data (Class),9,3
CategoryLineAnnotation in org::jfree::chart::annotations (Class),20,4
DataStatisticsPackageTests in org::jfree::data::statistics::junit (Class),4,0
ChartEditorFactory in org::jfree::chart::editor (Class),1,0
DefaultCategoryItemRendererTests in org::jfree::chart::renderer::category::junit (Class),7,0
HighLowRenderer in org::jfree::chart::renderer::xy (Class),18,4
NumberAxis3DTests in org::jfree::chart::axis::junit (Class),3,0
Day in org::jfree::data::time (Class),26,3
ChartUtilities in org::jfree::chart (Class),27,0
Values2D in org::jfree::data (Class),3,0
RegularTimePeriod in org::jfree::data::time (Class),19,1
KeyHandler in org::jfree::data::xml (Class),6,2
SpiderWebPlot in org::jfree::chart::plot (Class),72,6
StatisticalLineAndShapeRenderer in org::jfree::chart::renderer::category (Class),13,1
LineUtilitiesTests in org::jfree::chart::util::junit (Class),4,0
MatrixSeriesTests in org::jfree::data::xy::junit (Class),8,0
ColorBlock in org::jfree::chart::block (Class),9,0
PiePlotState in org::jfree::chart::plot (Class),21,10
KeyedObjects2DTests in org::jfree::data::junit (Class),13,0
TimePeriodAnchor in org::jfree::data::time (Class),6,0
PiePlotTests in org::jfree::chart::plot::junit (Class),13,0
SimpleHistogramDataset in org::jfree::data::statistics (Class),28,2
DefaultBoxAndWhiskerXYDatasetTests in org::jfree::data::statistics::junit (Class),9,0
BlockFrame in org::jfree::chart::block (Class),3,0
CategoryTableXYDataset in org::jfree::data::xy (Class),27,5
AreaRendererEndTypeTests in org::jfree::chart::renderer::junit (Class),4,0
