No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
369,GRAB 6 / Solrad 6B,(253rd military),9 Mar 65,Electronic intelligence,NA
370,GGSE 2,(254th military),9 Mar 65,Technology,NA
371,GGSE 3,(255th military),9 Mar 65,Technology,NA
372,Solrad 7B / EGRS 3,(256th military),9 Mar 65,Solar radiation monitoring,NA
373,Secor 3 / EGRS 3,(257th military),9 Mar 65,Geodesy,NA
374,Surcal 4,(258th military),9 Mar 65,Radar calibration,NA
375,Dodecapole I / Porcupine 1,(259th military),9 Mar 65,Technology,NA
376,Transit O-3 / NNS O-3,(260th military),11 Mar 65,Navigation,NA
377,Secor 2,(261st military),11 Mar 65,Geodesy,NA
378,Improve Samos 16 / KH-7 16,(262nd military),17 Mar 65,Reconnaissance,NA
379,P-35-11 / DAPP 11,(263rd military),18 Mar 65,Meteorology,NA
380,Ranger 9,(117th civilian),21 Mar 65,Planetary probe,NA
381,Gemini 3 / Gemini III,(118th civilian),23 Mar 65,Piloted spaceship,NA
382,Discoverer 89 / KH-4A,(264th military),25 Mar 65,Reconnaissance,NA
383,SNAP 10A,(265th military),3 Apr 65,Technology,NA
384,Secor 4 / EGRS 4,(266th military),3 Apr 65,Geodesy,NA
385,Improve Samos 17 / KH-7 17,(267th military),28 Apr 65,Reconnaissance,NA
386,Hitchhiker 8,(268th military),28 Apr 65,Electronic intelligence,NA
387,Explorer 27 / BE-C,(119th civilian),29 Apr 65,Geodesy and Earth sciences,NA
388,Discoverer 90 / KH-4,(269th military),29 Apr 65,Reconnaissance,NA
389,Transtage 6,(270th military),6 May 65,Technology,NA
390,LES 2,(271st military),6 May 65,Communications,NA
391,LCS 1,(272nd military),6 May 65,Radar calibration,NA
392,Discoverer 91 / KH-4A,(273rd military),18 May 65,Reconnaissance,NA
393,P-35-12 / DAPP 12,(274th military),20 May 65,Meteorology,NA
394,Pegasus 2,(122th civilian),25 May 65,Micrometeroids studies,NA
395,Apollo BP-26,(121st civilian),25 May 65,Piloted technology,NA
396,Improve Samos 18 / KH-7 18,(275th military),27 May 65,Reconnaissance,NA
397,OV 1-3,(276th military),28 May 65,Technology,NA
398,Explorer 28 / IMP 3,(122nd civilian),29 May 65,Earth sciences,NA
399,Gemini 4,(123rd civilian),3 Jun 65,Piloted spaceship,NA
400,Discoverer 92 / KH-4A,(277th military),9 Jun 65,Reconnaissance,NA
401,Transtage 7,(278th military),18 Jun 65,Technology,NA
402,Transit O-4 / NNS O-4,(279th military),24 Jun 65,Navigation,NA
403,Improve Samos 19 / KH-7 19,(280th military),25 Jun 65,Reconnaissance,NA
404,Hitchhiker 9,(281st military),25 Jun 65,Electronic intelligence,NA
405,Tiros 10,(124th civilian),2 Jul 65,Meteorology,NA
406,Improve Samos 20 / KH-7 20,(282nd military),12 Jul 65,Reconnaissance,NA
407,Ferret 8,(283rd military),17 Jul 65,Electronic intelligence,NA
408,Discoverer 93 / KH-4A,(284th military),19 Jul 65,Reconnaissance,NA
409,Vela Hotel 5 / Vela 3A,(285th military),20 Jul 65,Nuclear explosion monitoring,NA
410,Vela Hotel 6 / Vela 3B,(286th military),20 Jul 65,Nuclear explosion monitoring,NA
411,ERS 17 / ORS 3,(287th military),20 Jul 65,Radiation studies,NA
412,Pegasus 3,(125th civilian),20 Jul 65,Meteorids studies,NA
413,Apollo BP 9A (SA-10),(126th civilian),30 Jul 65,Piloted technology,NA
414,Improve Samos 21 / KH-7 21,(288th military),3 Aug 65,Reconnaissance,NA
415,Hitchhiker 10,(289th military),3 Aug 65,Electronic intelligence,NA
416,SEV,(127th civilian),3 Aug 65,Technology,NA
417,Secord 5 / EGRS 5,[[(290th military),3 Aug 65,Geodesy,NA
418,Surveyor SD-2 (AC-6),(128th civilian),11 Aug 65,Technology,NA
419,Surcal / Porcupine 2,(291st military),13 Aug 65,Surveillance calibration,NA
420,Surcal / Dodecapole 2,(292nd military),13 Aug 65,Surveillance calibration,NA
421,Surcal / Tempsat 1,(293rd military),13 Aug 65,Surveillance calibration,NA
422,Transit-O 5 / NNS O-5,(294th military),13 Aug 65,Navigation,NA
423,Spasur Rod 1,(295th military),13 Aug 65,Surveillance calibration,NA
424,Calsphere 4,(296th military),13 Aug 65,Surveillance calibration,NA
425,Surcal 5,(297th military),13 Aug 65,Surveillance calibration,NA
426,Surcal,(298th military),13 Aug 65,Surveillance calibration,NA
427,Discoverer 94 / KH-4A,(299th military),17 Aug 65,Reconnaissance,NA
428,Gemini 5,(129th civilian),21 Aug 65,Piloted spaceship,NA
429,REP,(130th civilian),21 Aug 65,Technology,NA
430,OSO 3,(131st civilian),25 Aug 65,Solar observatory,NA
431,Starad 2,(300th military),2 Sep 65,Radiation studies,NA
432,P-35-13 / DAPP 13,(301st military),10 Sep 65,Meteorology,NA
433,Discoverer 95 / KH-4A,(302nd military),22 Sep 65,Reconnaissance,NA
434,Improve Samos 22 / KH-7 22,(303rd military),30 Sep 65,Reconnaissance,NA
435,OV 1-2,(304th military),5 Oct 65,Technology,NA
436,OV1 Dummy,(305th military),5 Oct 65,Technology,NA
437,Discoverer 96 / KH-4A,(306th military),5 Oct 65,Reconnaissance,NA
438,OGO-2 / POGO-2,(132ndcivilian),14 Oct 65,Earth sciences,NA
439,LCS 2 (Transtage 4),(307th military),15 Oct 65,Calibration,NA
440,OV 2-1,(308th military),15 Oct 65,Technology,NA
441,GATV 6,(133rd civilian),25 Oct 65,Rendezvous target,NA
NA,Gemini VI,(civilian,25 Oct 65,Piloted spaceship,NA
442,Discoverer 97 / KH-4A,(309th military),28 Oct 65,Reconnaissance,NA
443,Explorer 29 / GEOS 1,(134th civilian),6 Nov 65,Geodesy,NA
444,Improve Samos 23 / KH-7 23,(310th military),8 Nov 65,Reconnaissance,NA
445,Agena Pickaback,(311th military),8 Nov 65,Electronic intelligence?,NA
446,Explorer 30 / SOLRAD 8 ,(135th civilian),19 Nov 65,Solar radiation monitoring,NA
447,Explorer 31 / DME-A,(136th civilian),29 Nov 65,Earth sciences,NA
448,Gemini 7,(137th civilian),4 Dec 65,Piloted spaceship,NA
449,Discoverer 98 / KH-A,(312th military),9 Dec 65,Reconnaissance,NA
450,Gemini VI-A,(138th civilian),15 Dec 65,Piloted spaceship,NA
451,Pioneer 6,(139th civilian),16 Dec 65,Planetary probe,NA
452,OV 2-3 (Transtage 8),(313th military),21 Dec 65,Technology,NA
453,LES 3,(314th military),21 Dec 65,Technology,NA
454,LES 4,(315th military),21 Dec 65,Technology,NA
455,Transit 10 / NNS O-6,(316th military),22 Dec 65,Navigation,NA
456,Discoverer 99 / KH-4A,(317th military),24 Dec 65,Reconnaissance,NA
457,P-35-14 / DAPP 14,(318th military),8 Jan 66,Meteorology,NA
458,Improve Samos 24 / KH-7 24,(319th military),19 Jan 66,Reconnaissance,NA
459,Agena Pickaback,(320th military),19 Jan 66,Electronic intelligence,NA
460,Transit 11 / NNS O-7,(321st military),28 Jan 66,Navigation,NA
461,Discoverer 100 / KH-4A,(322nd military),2 Feb 66,Reconnaissance,NA
462,ESSA 1,(140th civilian),3 Feb 66,Meteorology,NA
463,Ferret 9,(323rd military),9 Feb 66,Electronic intelligence,NA
464,Improve Samos 25 / KH-7 25,(324th military),15 Feb 66,Reconnaissance,NA
465,Bluebell 2C,(325th military),15 Feb 66,Radar calibration,NA
466,Bluebell 2S,(326th military),15 Feb 66,Radar calibration,NA
467,Apollo AS-201,(141st civilian),26 Feb 66,Piloted technology,NA
468,ESSA-2,(142nd civilian),28 Feb 66,Meteorology,NA
469,Discoverer 101 / KH-4A,(327th military),9 Mar 66,Reconnaissance,NA
470,GATV 8 / TDA 3,(143rd civilian),16 Mar 66,Rendezvous target,NA
471,Gemini VIII,(144th civilian),16 Mar 66,Piloted spaceship,NA
472,Improve Samos 26/ KH-7 26,(328th military),18 Mar 66,Reconnaissance,NA
473,Agena Pickaback,(329th military),18 Mar 66,Electronic intelligence,NA
474,Transit 12 / NNS O-8,(330th military),26 Mar 66,Navigation,NA
475,A-302 / SPP 28,(331st military),30 Mar 66,Technology,NA
476,OV 1-4,(332nd military),30 Mar 66,Technology,NA
477,OV 1-5,(333rd military),30 Mar 66,Technology,NA
478,P-35-15 / DAPP 15,(334th military),31 Mar 66,Meteorology,NA
479,Discoverer 102 / KH-4A,(335th military),7 Apr 66,Reconnaissance,NA
480,Surveyor Model 3 (AC-7),(145th civilian),8 Apr 66,Technology,NA
481,OAO 1,(146th civilian),8 Apr 66,Astronomy,NA
482,Improve Samos 27 / KH-7 27,(336th military),19 Apr 66,Reconnaissance,NA
483,OV 3-1,(337th military),22 Apr 66,Technology,NA
484,Discoverer 103 / KH-4A,(338th military),3 May 66,Reconnaissance,NA
485,Improve Samos 28 / KH-7 28,(339th military),14 May 66,Reconnaissance,NA
486,Hitchhiker 11,(340th military),14 May 66,Electronic intelligence,NA
487,Nimbus 3,(147th civilian),15 May 66,Meteorology,NA
488,GATV 9 / TDA 5,(148th civilian),17 May 66,Rendezvous target,NA
489,Transit 13 / NNS O-9,(341st military),19 May 66,Navigation,NA
490,Discoverer 104 / KH-4A,(342nd military),24 May 66,Reconnaissance,NA
491,Explorer 32 / AE-B,(149th civilian),25 May 66,Earth sciences,NA
492,Surveyor 1,(150th civilian),30 May 66,Planetary probe,NA
493,ATDA / TDA 4,(151st civilian),1 Jun 66,Rendezvous target,NA
494,Gemini IX-A,(152nd civilian),3 Jun 66,Piloted spaceship,NA
495,Impove Samos 29 / KH-7 29,(343rd military),3 Jun 66,Reconnaissance,NA
496,Agena Pickaback,(344th military),3 Jun 66,Rendezvous target,NA
497,OGO 3 / EOGO 3,(153rd civilian),9 Jun 66,Geophysics,NA
498,Midas 10 / Improve Midas 1,(345th military),9 Jun 66,Missile early warning,NA
499,Secor 6 / EGRS 6,(346th military),9 Jun 66,Geodesy,NA
500,ERS 16 / ORS 2,(347th military),9 Jun 66,Technology,NA
501,OV 3-4,(348th military),10 Jun 66,Radiation monitoring,NA
502,GGTS 1,(349th military),16 Jun 66,Technology,NA
503,IDSCP 1-1,(350th military),16 Jun 66,Communications,NA
504,IDSCP 1-2,(351st military),16 Jun 66,Communications,NA
505,IDSCP 1-3,(352nd military),16 Jun 66,Communications,NA
506,IDSCP 1-4,(353rd military),16 Jun 66,Communications,NA
507,IDSCP 1-5,(354th military),16 Jun 66,Communications,NA
508,IDSCP 1-6,(355th military),16 Jun 66,Communications,NA
509,IDSCP 1-7,(356th military),16 Jun 66,Communications,NA
510,Discoverer 105 / KH-4A,(357th military),21 Jun 66,Reconnaissance,NA
511,Pageos A,(154th civilian),24 Jun 66,Geodesy,NA
512,Explorer 33 / AIMP D,(155th civilian),1 Jul 66,Earth/space sciences,NA
513,Apollo 2 / AS-203,(156th civilian),5 Jul 66,Piloted technology,NA
514,Improve Samos 30 / KH-7 30,(358th military),12 Jul 66,Reconnaissance,NA
515,OV 1-8,(359th military),14 Jul 66,Technology,NA
516,OV 1-7,(360th military),14 Jul 66,Technology,NA
517,OV 1-subsat,(361st military),14 Jul 66,Technology,NA
518,GATV 10 / TDA 1A,(157th civilian),18 Jul 66,Rendezvous target,NA
519,Gemini X,(158th civilian),18 Jul 66,Piloted spaceship,NA
520,Titan Samos 1 / KH-8 1 GAMBIT,(362nd military),29 Jul 66,Reconnaissance,NA
521,OV 3-3,(363rd military),4 Aug 66,Technology,NA
522,Discoverer 106 / KH-4A,(364th military),9 Aug 66,Reconnaissance,NA
523,Lunar Orbiter 1,(159th civilian),10 Aug 66,Planetary probe,NA
524,Improve Samos 31 / KH-7 31,(365th military),16 Aug 66,Reconnaissance,NA
525,Hitchhiker 12,(366th military),16 Aug 66,Electronic intelligence,NA
526,Pioneer 7,(160th civilian),17 Aug 66,Planetary probe,NA
527,Transit 14 / NNS O-10,(367th military),18 Aug 66,Navigation,NA
528,Midas 11 / Midas RTS 2,(368th military),19 Aug 66,Missile early warning,NA
529,Secor 7 / EGRS 7,(369th military),19 Aug 66,Geodesy,NA
530,ERS 15 / ORS 1,(370th military),19 Aug 66,Technology,NA
531,Apollo AS-202,(161st civilian),25 Aug 66,Piloted technology,NA
532,IDCSP 8,(371st military),26 Aug 66,Communications,NA
533,IDCSP 9,(372nd military),26 Aug 66,Communications,NA
534,IDCSP 10,(373rd military),26 Aug 66,Communications,NA
535,IDCSP 11,(374th military),26 Aug 66,Communications,NA
536,IDCSP 12,(375th military),26 Aug 66,Communications,NA
537,IDCSP 13,(376th military),26 Aug 66,Communications,NA
538,IDCSP 14,(377th military),26 Aug 66,Communications,NA
539,IDCSP 15,(378th military),26 Aug 66,Communications,NA
540,GATV 11 / TDA 6,(162nd civilian),12 Sep 66,Rendezvous target,NA
541,Gemini XI,(163rd civilian),12 Sep 66,Piloted spaceship,NA
542,P-35-16,(379th military),16 Sep 66,Meteorology,NA
543,Improve Samos 32 / KH-7 32,(380th military),16 Sep 66,Reconnaissance,NA
544,Hitchhiker 13,(381st military),16 Sep 66,Electronic intelligence,NA
545,Surveyor 2,(164th civilian),20 Sep 66,Planetary probe,NA
546,Discoverer 107 / KH-4A,(382nd military),20 Sep 66,Reconnaissance,NA
547,Titan Samos 2 / KH-8 2 GAMBIT,(383rd military),28 Sep 66,Reconnaissance,NA
548,ESSA 3,(165th civilian),2 Oct 66,Meteorology,NA
549,Midas 12 / Improve Midas 2,(384th military),5 Oct 66,Missile early warning,NA
550,Secor 8 / EGRS 8,(385th military),5 Oct 66,Geodesy,NA
551,Improve Samos 33 / KH-7 33,(386th military),12 Oct 66,Reconnaissance,NA
552,SGLS 1,(387th military),12 Oct 66,NA,NA
553,Surveyor Model 4 (AC-10),(166th civilian),25 Oct 66,Technology,NA
554,OV 3-2,(388th military),28 Oct 66,Science & technology,NA
555,Improve Samos 34 / KH-7 34,(389th military),2 Nov 66,Reconnaissance,NA
556,Agena Pickaback,(390th military),2 Nov 66,Electronic intelligence,NA
557,OV 4-3,(391st military),3 Nov 66,Technology,NA
558,MOL / Gemini B,(392nd military),3 Nov 66,Piloted technology,NA
559,OV 4-1R,(393rd military),3 Nov 66,Technology,NA
560,OV 4-6S,(394th military),3 Nov 66,Technology,NA
561,OV 4-1T,(395th military),3 Nov 66,Technology,NA
562,Lunar Orbiter 2,(167th civilian),6 Nov 66,Planetary probe,NA
563,Discoverer 108 / KH-4A,(396th military),8 Nov 66,Reconnaissance,NA
564,GATV 12 / TDA 7,(168th civilian),11 Nov 66,Rendezvous target,NA
565,Gemini XII,(169th civilian),11 Nov 66,Piloted spaceship,NA
566,Improve Samos 35 / KH-7 35,(397th military),5 Dec 66,Reconnaissance,NA
567,ATS 1,(170th civilian),7 Dec 66,Technology,NA
568,OV 1-9,(398th military),11 Dec 66,Science & technology,NA
569,OV 1-10,(399th military),11 Dec 66,Science & technology,NA
570,Titan Samos 3 / KH-8 3 GAMBIT,(400th military),14 Dec 66,Reconnaissance,NA
571,Biosatellite 1,(171st civilian),14 Dec 66,Biology,NA
572,Ferret 10,(401st military),29 Dec 66,Electronic intelligence,NA
573,Discoverer 109 / KH-4A,(402nd military),14 Jan 67,Reconnaissance,NA
574,IDSCS 16,(403rd military),18 Jan 67,Communications,NA
575,IDSCS 17,(404th military),18 Jan 67,Communications,NA
576,IDSCS 18,(405th military),18 Jan 67,Communications,NA
577,IDSCS 19,(406th military),18 Jan 67,Communications,NA
578,IDSCS 20,(407th military),18 Jan 67,Communications,NA
579,IDSCS 21,(408th military),18 Jan 67,Communications,NA
580,IDSCS 22,(409th military),18 Jan 67,Communications,NA
581,IDSCS 23,(410th military),18 Jan 67,Communications,NA
582,ESSA 4,(172nd civilian),26 Jan 67,Meteorology,NA
583,Apollo 1 (Apollo 204),(173rd civilian),27 Jan 67,Piloted spaceship,NA
584,OV 3-5,(411th military),31 Jan 67,Science & technology,NA
585,Improve Samos 36 / KH-7 36,(412th military),2 Feb 67,Reconnaissance,NA
586,Lunar Orbiter 3,(174th civilian),3 Feb 67,Planetary probe,NA
587,P-35-17 / DAPP 2418,(413th military),8 Feb 67,Meteorology,NA
588,Discoverer 110 / KH-4A,(414th military),22 Feb 67,Reconnaissance,NA
589,Titan Samos 4 / KH-8 4 GAMBIT,(415th military),24 Feb 67,Reconnaissance,NA
590,OSO 3,(175th civilian),8 Mar 67,Solar observatory,NA
591,Discoverer 111 / KH-4A,(416th military),30 Mar 67,Reconnaissance,NA
592,ATS 2,(176th civilian),6 Apr 67,Technology,NA
593,Research Payload Module 481,(177th civilian),6 Apr 67,Technology,NA
594,Transit 15 / NNS O-12,(417th military),13 Apr 67,Navigation,NA
595,Surveyor 3,(178th civilian),17 Apr 67,Planetary probe,NA
596,ESSA 5,(179th civilian),20 Apr 67,Meteorology,NA
597,Titan Samos 5 / KH-8 5 GAMBIT,(418th military),26 Apr 67,Reconnaissance,NA
598,Vela Hotel 7 / Vela 4A,(419th military),28 Apr 67,Nuclear explosion monitoring,NA
